MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Ciudad de Mexico,"24,696",0,25,16,36,24,24,59,23,17,37,26,103,17,184,223,407
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Ciudad de Mexico,"24,697",0,0,0,0,54,22,25,60,52,0,0,0,0,101,112,212
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Monterrey,"24,698",0,19,12,12,14,7,12,14,7,36,26,55,24,77,163,240
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Monterrey,"24,699",0,59,41,50,41,59,60,66,62,85,65,143,71,310,492,802
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Monterrey,"24,700",0,0,0,0,0,18,14,19,0,0,0,0,0,32,19,52
INFANTI,VASOS ENTRENADORES,Autoservicios,5538,7.50103E+12,REEMPLAZO BS 2PACK,Guadalajara,"24,701",0,0,0,0,74,0,53,0,70,0,0,43,0,127,113,240
INFANTI,VASOS ENTRENADORES,Autoservicios,5531,7.50103E+12,VASO MAGICO 360,Ciudad de Mexico,"24,702",0,0,0,2,1,0,0,4,2,11,11,32,11,4,71,74
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Ciudad de Mexico,"24,703",0,1,2,2,2,4,6,2,2,4,13,13,10,18,44,62
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Monterrey,"24,704",0,0,6,4,4,8,5,1,4,7,4,23,8,26,47,73
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Guadalajara,"24,705",0,1,60,13,13,12,12,-13,10,16,14,20,9,110,56,167
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Guadalajara,"24,706",10OZ,31,44,146,122,125,133,26,59,83,83,176,62,602,490,"1,092"
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Monterrey,"24,707",0,0,79,7,97,154,0,77,29,224,36,0,0,337,366,703
INFANTI,VASOS ENTRENADORES,Autoservicios,5727,7.50103E+12,TAZA ADVANCED 5OZ,Ciudad de Mexico,"24,708", 5OZ,10,16,0,29,115,13,12,6,0,20,37,0,182,76,258
INFANTI,VASOS ENTRENADORES,Autoservicios,5728,7.50103E+12,VASO ADV BS 8 OZ,Ciudad de Mexico,"24,709",8 OZ,0,0,0,0,0,0,0,178,0,13,19,0, -   ,210,210
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Ciudad de Mexico,"24,710",0 OZ,146,0,0,0,96,0,54,7,0,0,0,0,242,61,304
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Monterrey,"24,711",0,55,72,0,0,38,0,48,0,0,26,0,2,166,77,242
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Monterrey,"24,712",0,0,0,0,31,152,0,0,0,0,0,50,0,184,50,234
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Monterrey,"24,713",0,14,0,0,14,17,0,29,0,0,8,0,0,46,37,83
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Guadalajara,"24,714",0,113,0,82,125,115,41,0,166,278,130,31,29,475,634,"1,109"
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Ciudad de Mexico,"24,715",0,0,0,0,0,22,0,22,0,0,7,0,0,22,29,50
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Ciudad de Mexico,"24,716",0,0,0,0,0,29,0,24,0,0,4,23,0,29,50,79
INFANTI,VASOS ENTRENADORES,Autoservicios,5531,7.50103E+12,VASO MAGICO 360,Monterrey,"24,717",0,12,13,19,18,18,28,-7,1,13,11,24,7,108,49,157
